,c_dest,c_cit,weight,scaled,gdp_diff,dest_gdp,cit_gdp
97,Austria,Belgium,2001,0.0002330829642561858,3300.0,39900.0,36600.0
98,Austria,Bulgaria,19607,0.0022838868966371987,33600.0,39900.0,6300.0
99,Austria,Croatia,66475,0.007743223412758596,29300.0,39900.0,10600.0
100,Austria,Cyprus,158,1.8404352000238557e-05,19000.0,39900.0,20900.0
101,Austria,Czechia,11631,0.001354816570346675,23900.0,39900.0,16000.0
102,Austria,Denmark,1086,0.00012650079919151314,-8100.0,39900.0,48000.0
103,Austria,Estonia,475,5.532953924122351e-05,24200.0,39900.0,15700.0
104,Austria,Finland,1422,0.00016563916800214703,1600.0,39900.0,38300.0
105,Austria,France,7428,0.0008652375104922278,6900.0,39900.0,33000.0
106,Austria,Germany,170475,0.019857480425573847,2600.0,39900.0,37300.0
107,Austria,Greece,4945,0.0005760096243112638,23500.0,39900.0,16400.0
108,Austria,Hungary,54939,0.006399472750260165,28600.0,39900.0,11300.0
109,Austria,Iceland,201,2.3413131342075634e-05,-7500.0,39900.0,47400.0
110,Austria,Ireland,1265,0.0001473512992424163,-16000.0,39900.0,55900.0
111,Austria,Italy,22465,0.0026167959980086027,12700.0,39900.0,27200.0
112,Austria,Latvia,1262,0.00014700184952089277,27600.0,39900.0,12300.0
113,Austria,Liechtenstein,393,4.577791351958072e-05,-108500.0,39900.0,148400.0
114,Austria,Lithuania,1253,0.00014595350035632223,27000.0,39900.0,12900.0
115,Austria,Luxembourg,766,8.922616222900465e-05,-50700.0,39900.0,90600.0
116,Austria,Malta,72,8.386793316564407e-06,18200.0,39900.0,21700.0
117,Austria,Netherlands,8108,0.0009444461140375584,-800.0,39900.0,40700.0
118,Austria,Norway,636,7.408334096298559e-05,-27200.0,39900.0,67100.0
119,Austria,Poland,54262,0.006320613596436359,28700.0,39900.0,11200.0
120,Austria,Portugal,2893,0.00033698601478917813,22500.0,39900.0,17400.0
121,Austria,Romania,73374,0.008546841289022177,31800.0,39900.0,8100.0
122,Austria,Slovakia,32052,0.003733520824757255,25300.0,39900.0,14600.0
123,Austria,Slovenia,13507,0.001573339129539381,21100.0,39900.0,18800.0
124,Austria,Spain,5928,0.0006905126497304694,16600.0,39900.0,23300.0
