,c_dest,c_cit,weight,scaled,gdp_diff,dest_gdp,cit_gdp
97,Austria,Belgium,1374,0.00016538298257255757,2200.0,35300.0,33100.0
98,Austria,Bulgaria,7605,0.0009153839755926494,30400.0,35300.0,4900.0
99,Austria,Croatia,59229,0.007129162063165948,24100.0,35300.0,11200.0
100,Austria,Cyprus,99,1.1916241102389519e-05,11100.0,35300.0,24200.0
101,Austria,Czechia,8564,0.0010308150383925641,19800.0,35300.0,15500.0
102,Austria,Denmark,960,0.00011555142887165594,-8700.0,35300.0,44000.0
103,Austria,Estonia,196,2.3591750061296423e-05,23000.0,35300.0,12300.0
104,Austria,Finland,1087,0.0001308379199828021,-1200.0,35300.0,36500.0
105,Austria,France,5959,0.000717261421506456,4300.0,35300.0,31000.0
106,Austria,Germany,118942,0.014316581305054688,3600.0,35300.0,31700.0
107,Austria,Greece,2381,0.000286591616816055,13500.0,35300.0,21800.0
108,Austria,Hungary,19233,0.002315000657800582,24500.0,35300.0,10800.0
109,Austria,Iceland,136,1.6369785756817927e-05,1000.0,35300.0,34300.0
110,Austria,Ireland,838,0.00010086676811921634,-6500.0,35300.0,41800.0
111,Austria,Italy,13197,0.0015884710487700452,7700.0,35300.0,27600.0
112,Austria,Latvia,398,4.790569655304069e-05,24100.0,35300.0,11200.0
113,Austria,Liechtenstein,381,4.585947333343845e-05,,35300.0,
114,Austria,Lithuania,585,7.041415196866535e-05,25100.0,35300.0,10200.0
115,Austria,Luxembourg,498,5.994230372717152e-05,-42600.0,35300.0,77900.0
116,Austria,Malta,46,5.536839300100181e-06,20300.0,35300.0,15000.0
117,Austria,Netherlands,6280,0.0007558989305354159,-4100.0,35300.0,39400.0
118,Austria,Norway,603,7.258074126000889e-05,-31200.0,35300.0,66500.0
119,Austria,Poland,35347,0.004254579537840024,25700.0,35300.0,9600.0
120,Austria,Portugal,1398,0.00016827176829434896,18400.0,35300.0,16900.0
121,Austria,Romania,27654,0.0033286033479341393,28200.0,35300.0,7100.0
122,Austria,Slovakia,15768,0.0018979322192169488,23100.0,35300.0,12200.0
123,Austria,Slovenia,7502,0.0009029862702032947,16500.0,35300.0,18800.0
124,Austria,Spain,2490,0.0002997115186358576,11000.0,35300.0,24300.0
