,c_dest,c_cit,weight,scaled,gdp_diff,dest_gdp,cit_gdp
97,Austria,Belgium,1862,0.00022030653607608267,2900.0,38200.0,35300.0
98,Austria,Bulgaria,14144,0.0016734777906874936,32400.0,38200.0,5800.0
99,Austria,Croatia,58619,0.006935633103245913,27900.0,38200.0,10300.0
100,Austria,Cyprus,125,1.4789643936364304e-05,17200.0,38200.0,21000.0
101,Austria,Czechia,10232,0.0012106210940550364,23200.0,38200.0,15000.0
102,Austria,Denmark,996,0.00011784388288495077,-7900.0,38200.0,46100.0
103,Austria,Estonia,385,4.555210332400205e-05,23900.0,38200.0,14300.0
104,Austria,Finland,1301,0.00015393061408967967,800.0,38200.0,37400.0
105,Austria,France,6869,0.0008127205135910912,6100.0,38200.0,32100.0
106,Austria,Germany,157793,0.01866961828520586,3200.0,38200.0,35000.0
107,Austria,Greece,3695,0.0004371818747589288,21700.0,38200.0,16500.0
108,Austria,Hungary,37004,0.004378207873769797,27900.0,38200.0,10300.0
109,Austria,Iceland,193,2.2835210237746483e-05,900.0,38200.0,37300.0
110,Austria,Ireland,1058,0.00012517954627738745,-700.0,38200.0,38900.0
111,Austria,Italy,17831,0.002109713128234495,11700.0,38200.0,26500.0
112,Austria,Latvia,1045,0.00012364142330800558,26900.0,38200.0,11300.0
113,Austria,Liechtenstein,391,4.626200623294754e-05,-90200.0,38200.0,128400.0
114,Austria,Lithuania,1086,0.00012849242651913307,26400.0,38200.0,11800.0
115,Austria,Luxembourg,634,7.501307404523974e-05,-47100.0,38200.0,85300.0
116,Austria,Malta,74,8.755469210327667e-06,20300.0,38200.0,17900.0
117,Austria,Netherlands,7498,0.0008871420018788763,-1100.0,38200.0,39300.0
118,Austria,Norway,639,7.560465980269432e-05,-39400.0,38200.0,77600.0
119,Austria,Poland,45965,0.005438447868279882,27900.0,38200.0,10300.0
120,Austria,Portugal,2260,0.0002673967623694666,21900.0,38200.0,16300.0
121,Austria,Romania,53261,0.006301689805557593,31000.0,38200.0,7200.0
122,Austria,Slovakia,25333,0.002997328398719335,24500.0,38200.0,13700.0
123,Austria,Slovenia,9592,0.0011348981171008512,20600.0,38200.0,17600.0
124,Austria,Spain,4272,0.0005054508711691864,16200.0,38200.0,22000.0
125,Austria,Sweden,2810,0.00033247119568946955,-7200.0,38200.0,45400.0
126,Austria,Switzerland,7421,0.0008780315812140759,-25900.0,38200.0,64100.0
127,Austria,United Kingdom,8897,0.0010526676968146656,5800.0,38200.0,32400.0
160,Belgium,Austria,6058,0.0005439050225831017,-2900.0,35300.0,38200.0
162,Belgium,Bulgaria,23443,0.0021047813543109365,29500.0,35300.0,5800.0
163,Belgium,Croatia,1043,9.364360161013124e-05,25000.0,35300.0,10300.0
164,Belgium,Cyprus,365,3.277077141677652e-05,14300.0,35300.0,21000.0
165,Belgium,Czechia,3225,0.0002895499666276829,20300.0,35300.0,15000.0
166,Belgium,Denmark,2860,0.0002567791952109064,-10800.0,35300.0,46100.0
167,Belgium,Estonia,917,8.233095175118922e-05,21000.0,35300.0,14300.0
168,Belgium,Finland,2917,0.00026189682252804683,-2100.0,35300.0,37400.0
169,Belgium,France,153303,0.013763993343852301,3200.0,35300.0,32100.0
170,Belgium,Germany,39689,0.003563394922631351,300.0,35300.0,35000.0
171,Belgium,Greece,15487,0.001390468320360597,18800.0,35300.0,16500.0
172,Belgium,Hungary,5327,0.0004782736968141603,25000.0,35300.0,10300.0
173,Belgium,Iceland,214,1.9213548173123766e-05,-2000.0,35300.0,37300.0
174,Belgium,Ireland,3997,0.00035886239274754997,-3600.0,35300.0,38900.0
175,Belgium,Italy,157359,0.014128152929787769,8800.0,35300.0,26500.0
176,Belgium,Latvia,1632,0.0001465257505539158,24000.0,35300.0,11300.0
177,Belgium,Liechtenstein,10,8.978293538842881e-07,-93100.0,35300.0,128400.0
178,Belgium,Lithuania,2162,0.0001941107063097831,23500.0,35300.0,11800.0
179,Belgium,Luxembourg,4358,0.00039127403242277274,-50000.0,35300.0,85300.0
180,Belgium,Malta,431,3.869644515241282e-05,17400.0,35300.0,17900.0
181,Belgium,Netherlands,143847,0.01291500590681932,-4000.0,35300.0,39300.0
182,Belgium,Norway,1215,0.000109086266496941,-42300.0,35300.0,77600.0
183,Belgium,Poland,61367,0.005509709395981711,25000.0,35300.0,10300.0
184,Belgium,Portugal,38740,0.003478190916947732,19000.0,35300.0,16300.0
185,Belgium,Romania,50882,0.004568335318434035,28100.0,35300.0,7200.0
186,Belgium,Slovakia,5508,0.0004945244081194659,21600.0,35300.0,13700.0
187,Belgium,Slovenia,938,8.421639339434623e-05,17700.0,35300.0,17600.0
188,Belgium,Spain,54279,0.004873327949948527,13300.0,35300.0,22000.0
189,Belgium,Sweden,4255,0.00038202639007776457,-10100.0,35300.0,45400.0
190,Belgium,Switzerland,2082,0.00018692807147870877,-28800.0,35300.0,64100.0
191,Belgium,United Kingdom,24513,0.0022008490951765554,2900.0,35300.0,32400.0
192,Bulgaria,Austria,212,2.910268194941844e-05,-32400.0,5800.0,38200.0
193,Bulgaria,Belgium,189,2.5945315511509836e-05,-29500.0,5800.0,35300.0
195,Bulgaria,Croatia,38,5.216518462631607e-06,-4500.0,5800.0,10300.0
196,Bulgaria,Cyprus,133,1.8257814619210624e-05,-15200.0,5800.0,21000.0
197,Bulgaria,Czechia,368,5.051786300653767e-05,-9200.0,5800.0,15000.0
198,Bulgaria,Denmark,80,1.0982144131856016e-05,-40300.0,5800.0,46100.0
