,c_dest,c_cit,weight,scaled,gdp_diff,dest_gdp,cit_gdp
160,Belgium,Austria,2589,0.00023534998606444463,-2500.0,34500.0,37000.0
162,Belgium,Bulgaria,17768,0.0016151790468880078,28900.0,34500.0,5600.0
163,Belgium,Croatia,952,8.654043520021294e-05,24000.0,34500.0,10500.0
164,Belgium,Cyprus,344,3.1270913559740806e-05,11300.0,34500.0,23200.0
165,Belgium,Czechia,3008,0.0002734386860107568,18900.0,34500.0,15600.0
166,Belgium,Denmark,2927,0.00026607547671325974,-10000.0,34500.0,44500.0
167,Belgium,Estonia,819,7.445022734135965e-05,22000.0,34500.0,12500.0
168,Belgium,Finland,3051,0.0002773475502057244,-2000.0,34500.0,36500.0
169,Belgium,France,145274,0.013205961326970309,3000.0,34500.0,31500.0
170,Belgium,Germany,39842,0.003621789936183701,800.0,34500.0,33700.0
171,Belgium,Greece,14799,0.001345285609798268,15900.0,34500.0,18600.0
172,Belgium,Hungary,4451,0.0004046128960883905,24300.0,34500.0,10200.0
173,Belgium,Iceland,226,2.0544262978201808e-05,400.0,34500.0,34100.0
174,Belgium,Ireland,3743,0.0003402529925991565,-2900.0,34500.0,37400.0
175,Belgium,Italy,162827,0.014801596052883479,7200.0,34500.0,27300.0
176,Belgium,Latvia,1177,0.00010699379435992713,24700.0,34500.0,9800.0
177,Belgium,Liechtenstein,14,1.2726534588266608e-06,,34500.0,
178,Belgium,Lithuania,1663,0.0001511730501449098,24200.0,34500.0,10300.0
179,Belgium,Luxembourg,4386,0.0003987041478866953,-48600.0,34500.0,83100.0
180,Belgium,Malta,409,3.717966176143602e-05,18100.0,34500.0,16400.0
181,Belgium,Netherlands,137797,0.012526273476138383,-4500.0,34500.0,39000.0
182,Belgium,Norway,1296,0.00011781134875995374,-37900.0,34500.0,72400.0
183,Belgium,Poland,49697,0.004517647067379183,24600.0,34500.0,9900.0
184,Belgium,Portugal,34466,0.0031330910079942634,17800.0,34500.0,16700.0
185,Belgium,Romania,34178,0.0031069107082698296,28000.0,34500.0,6500.0
186,Belgium,Slovakia,5428,0.0004934259267507939,21400.0,34500.0,13100.0
187,Belgium,Slovenia,888,8.072259081700534e-05,16500.0,34500.0,18000.0
188,Belgium,Spain,48002,0.00436356509504267,11600.0,34500.0,22900.0
189,Belgium,Sweden,4376,0.00039779510970181913,-8400.0,34500.0,42900.0
190,Belgium,Switzerland,2121,0.0001928069990122391,-29200.0,34500.0,63700.0
191,Belgium,United Kingdom,24973,0.0022701410590913,4600.0,34500.0,29900.0
192,Bulgaria,Austria,145,1.9675874568877842e-05,-31400.0,5600.0,37000.0
193,Bulgaria,Belgium,117,1.587639534178419e-05,-28900.0,5600.0,34500.0
195,Bulgaria,Croatia,38,5.156436093912813e-06,-4900.0,5600.0,10500.0
196,Bulgaria,Cyprus,111,1.5062221221692692e-05,-17600.0,5600.0,23200.0
197,Bulgaria,Czechia,372,5.0478795445672804e-05,-10000.0,5600.0,15600.0
198,Bulgaria,Denmark,47,6.377697274050059e-06,-38900.0,5600.0,44500.0
199,Bulgaria,Estonia,31,4.2065662871394e-06,-6900.0,5600.0,12500.0
200,Bulgaria,Finland,40,5.427827467276646e-06,-30900.0,5600.0,36500.0
201,Bulgaria,France,278,3.772340089757269e-05,-25900.0,5600.0,31500.0
202,Bulgaria,Germany,851,0.00011547702936631065,-28100.0,5600.0,33700.0
203,Bulgaria,Greece,1255,0.00017029808678580477,-13000.0,5600.0,18600.0
204,Bulgaria,Hungary,138,1.8726004762104427e-05,-4600.0,5600.0,10200.0
205,Bulgaria,Iceland,9,1.2212611801372452e-06,-28500.0,5600.0,34100.0
206,Bulgaria,Ireland,78,1.058426356118946e-05,-31800.0,5600.0,37400.0
207,Bulgaria,Italy,456,6.187723312695377e-05,-21700.0,5600.0,27300.0
208,Bulgaria,Latvia,65,8.820219634324549e-06,-4200.0,5600.0,9800.0
209,Bulgaria,Liechtenstein,0,0.0,,5600.0,
210,Bulgaria,Lithuania,48,6.5133929607319754e-06,-4700.0,5600.0,10300.0
211,Bulgaria,Luxembourg,4,5.427827467276646e-07,-77500.0,5600.0,83100.0
212,Bulgaria,Malta,8,1.0855654934553292e-06,-10800.0,5600.0,16400.0
213,Bulgaria,Netherlands,200,2.7139137336383228e-05,-33400.0,5600.0,39000.0
