,c_dest,c_cit,weight,scaled,gdp_diff,dest_gdp,cit_gdp
160,Belgium,Austria,2553,0.00023551866921342945,-1900.0,33500.0,35400.0
162,Belgium,Bulgaria,13171,0.0012150475488484447,28400.0,33500.0,5100.0
163,Belgium,Croatia,808,7.45393986386412e-05,23000.0,33500.0,10500.0
164,Belgium,Cyprus,313,2.8874791799374627e-05,10200.0,33500.0,23300.0
165,Belgium,Czechia,2614,0.0002411460248037229,18600.0,33500.0,14900.0
166,Belgium,Denmark,3007,0.0002774009550821709,-10300.0,33500.0,43800.0
167,Belgium,Estonia,699,6.448395996090372e-05,22500.0,33500.0,11000.0
168,Belgium,Finland,3021,0.00027869247931600874,-1400.0,33500.0,34900.0
169,Belgium,France,140227,0.012936183481312797,2800.0,33500.0,30700.0
170,Belgium,Germany,39421,0.0036366554872943996,1400.0,33500.0,32100.0
171,Belgium,Greece,14798,0.0013651411151665996,13200.0,33500.0,20300.0
172,Belgium,Hungary,3772,0.0003479735292883102,23600.0,33500.0,9900.0
173,Belgium,Iceland,192,1.7712332349776127e-05,1000.0,33500.0,32500.0
174,Belgium,Ireland,3625,0.00033441252483301285,-3300.0,33500.0,36800.0
175,Belgium,Italy,165052,0.015226332703100257,6700.0,33500.0,26800.0
176,Belgium,Latvia,958,8.83771582869038e-05,25000.0,33500.0,8500.0
177,Belgium,Liechtenstein,16,1.4760276958146773e-06,,33500.0,
178,Belgium,Lithuania,1412,0.0001302594441556453,24500.0,33500.0,9000.0
179,Belgium,Luxembourg,4413,0.0004071068888518857,-45700.0,33500.0,79200.0
180,Belgium,Malta,343,3.164234372902715e-05,17600.0,33500.0,15900.0
181,Belgium,Netherlands,133536,0.012318927149269297,-5000.0,33500.0,38500.0
182,Belgium,Norway,1297,0.00011965049509197728,-32800.0,33500.0,66300.0
183,Belgium,Poland,43085,0.003974665829635961,24100.0,33500.0,9400.0
184,Belgium,Portugal,33084,0.003052056268020799,16500.0,33500.0,17000.0
185,Belgium,Romania,26383,0.0024338774186674146,27300.0,33500.0,6200.0
186,Belgium,Slovakia,4063,0.0003748187830059396,21100.0,33500.0,12400.0
187,Belgium,Slovenia,766,7.066482593712768e-05,15800.0,33500.0,17700.0
188,Belgium,Spain,45233,0.004172822547799081,10300.0,33500.0,23200.0
189,Belgium,Sweden,4426,0.0004083061613547351,-5900.0,33500.0,39400.0
190,Belgium,Switzerland,2094,0.0001931751246897459,-22600.0,33500.0,56100.0
191,Belgium,United Kingdom,25040,0.00230998334394997,4000.0,33500.0,29500.0
192,Bulgaria,Austria,143,1.9267651391865493e-05,-30300.0,5100.0,35400.0
193,Bulgaria,Belgium,113,1.5225486764201404e-05,-28400.0,5100.0,33500.0
195,Bulgaria,Croatia,38,5.1200751950411804e-06,-5400.0,5100.0,10500.0
196,Bulgaria,Cyprus,108,1.4551792659590722e-05,-18200.0,5100.0,23300.0
197,Bulgaria,Czechia,373,5.025758020395685e-05,-9800.0,5100.0,14900.0
198,Bulgaria,Denmark,46,6.19798576241827e-06,-38700.0,5100.0,43800.0
199,Bulgaria,Estonia,31,4.176903448586226e-06,-5900.0,5100.0,11000.0
200,Bulgaria,Finland,40,5.389552836885453e-06,-29800.0,5100.0,34900.0
201,Bulgaria,France,277,3.732265339543176e-05,-25600.0,5100.0,30700.0
202,Bulgaria,Germany,832,0.00011210269900721742,-27000.0,5100.0,32100.0
203,Bulgaria,Greece,1203,0.00016209080156933,-15200.0,5100.0,20300.0
204,Bulgaria,Hungary,139,1.8728696108176948e-05,-4800.0,5100.0,9900.0
205,Bulgaria,Iceland,9,1.212649388299227e-06,-27400.0,5100.0,32500.0
206,Bulgaria,Ireland,78,1.0509628031926634e-05,-31700.0,5100.0,36800.0
207,Bulgaria,Italy,444,5.9824036489428526e-05,-21700.0,5100.0,26800.0
208,Bulgaria,Latvia,65,8.758023359938861e-06,-3400.0,5100.0,8500.0
209,Bulgaria,Liechtenstein,0,0.0,,5100.0,
210,Bulgaria,Lithuania,48,6.467463404262543e-06,-3900.0,5100.0,9000.0
211,Bulgaria,Luxembourg,4,5.389552836885453e-07,-74100.0,5100.0,79200.0
212,Bulgaria,Malta,10,1.3473882092213633e-06,-10800.0,5100.0,15900.0
213,Bulgaria,Netherlands,198,2.667828654258299e-05,-33400.0,5100.0,38500.0
214,Bulgaria,Norway,35,4.715858732274771e-06,-61200.0,5100.0,66300.0
215,Bulgaria,Poland,815,0.0001098121390515411,-4300.0,5100.0,9400.0
216,Bulgaria,Portugal,27,3.6379481648976806e-06,-11900.0,5100.0,17000.0
217,Bulgaria,Romania,332,4.473328854614926e-05,-1100.0,5100.0,6200.0
218,Bulgaria,Slovakia,185,2.492668187059522e-05,-7300.0,5100.0,12400.0
219,Bulgaria,Slovenia,22,2.9642540602869993e-06,-12600.0,5100.0,17700.0
220,Bulgaria,Spain,153,2.0615039601086856e-05,-18100.0,5100.0,23200.0
221,Bulgaria,Sweden,61,8.219068076250316e-06,-34300.0,5100.0,39400.0
222,Bulgaria,Switzerland,60,8.08432925532818e-06,-51000.0,5100.0,56100.0
223,Bulgaria,United Kingdom,2423,0.0003264721630943363,-24400.0,5100.0,29500.0
288,Czechia,Austria,2992,0.00028598497737736484,-20500.0,14900.0,35400.0
289,Czechia,Belgium,447,4.272569682074936e-05,-18600.0,14900.0,33500.0
290,Czechia,Bulgaria,6402,0.0006119237383589203,9800.0,14900.0,5100.0
291,Czechia,Croatia,2305,0.00022031930910923326,4400.0,14900.0,10500.0
292,Czechia,Cyprus,73,6.977574648578754e-06,-8400.0,14900.0,23300.0
294,Czechia,Denmark,288,2.7527965736858646e-05,-28900.0,14900.0,43800.0
295,Czechia,Estonia,81,7.742240363491494e-06,3900.0,14900.0,11000.0
296,Czechia,Finland,221,2.112389037446445e-05,-20000.0,14900.0,34900.0
