,c_dest,c_cit,weight,scaled,gdp_diff,dest_gdp,cit_gdp
97,Austria,Belgium,2192,0.00025194038345740133,3200.0,40800.0,37600.0
98,Austria,Bulgaria,22411,0.0025758375609780206,34000.0,40800.0,6800.0
99,Austria,Croatia,70248,0.00807404564649431,29600.0,40800.0,11200.0
100,Austria,Cyprus,169,1.942423576838541e-05,19100.0,40800.0,21700.0
101,Austria,Czechia,12269,0.0014101535422622522,24100.0,40800.0,16700.0
102,Austria,Denmark,1119,0.00012861372677410224,-8400.0,40800.0,49200.0
103,Austria,Estonia,509,5.8502579917799854e-05,24300.0,40800.0,16500.0
104,Austria,Finland,1507,0.00017320901362696342,1500.0,40800.0,39300.0
105,Austria,France,7717,0.000886963475885386,7400.0,40800.0,33400.0
106,Austria,Germany,176463,0.020282005422465058,2400.0,40800.0,38400.0
107,Austria,Greece,5458,0.0006273223599044236,24400.0,40800.0,16400.0
108,Austria,Hungary,63550,0.007304202266750846,29200.0,40800.0,11600.0
109,Austria,Iceland,230,2.643535045401565e-05,-14800.0,40800.0,55600.0
110,Austria,Ireland,1374,0.00015792248488616305,-16700.0,40800.0,57500.0
111,Austria,Italy,25327,0.0029109918302124105,12900.0,40800.0,27900.0
112,Austria,Latvia,1414,0.00016251993713903534,28000.0,40800.0,12800.0
113,Austria,Liechtenstein,407,4.677907667297552e-05,-105900.0,40800.0,146700.0
114,Austria,Lithuania,1354,0.00015562375875972692,27300.0,40800.0,13500.0
115,Austria,Luxembourg,849,9.758092406721429e-05,-50500.0,40800.0,91300.0
116,Austria,Malta,71,8.16047774884831e-06,18100.0,40800.0,22700.0
117,Austria,Netherlands,8424,0.0009682234444549037,-800.0,40800.0,41600.0
118,Austria,Norway,681,7.827162460515069e-05,-23300.0,40800.0,64100.0
119,Austria,Poland,57589,0.006619066944766553,29700.0,40800.0,11100.0
120,Austria,Portugal,3213,0.00036929035221196644,22700.0,40800.0,18100.0
121,Austria,Romania,82949,0.009533851673087583,32200.0,40800.0,8600.0
122,Austria,Slovakia,35326,0.0040602399571241605,25800.0,40800.0,15000.0
123,Austria,Slovenia,15487,0.0017800185760058276,21300.0,40800.0,19500.0
124,Austria,Spain,6517,0.0007490399082992174,16700.0,40800.0,24100.0
125,Austria,Sweden,2933,0.00033710818644186046,-5900.0,40800.0,46700.0
126,Austria,Switzerland,7765,0.0008924804185888327,-31500.0,40800.0,72300.0
127,Austria,United Kingdom,9962,0.0011449954835778431,4200.0,40800.0,36600.0
160,Belgium,Austria,2796,0.0002471904410501633,-3200.0,37600.0,40800.0
162,Belgium,Bulgaria,31251,0.0027628571077462994,30800.0,37600.0,6800.0
163,Belgium,Croatia,1762,0.0001557759503327567,26400.0,37600.0,11200.0
164,Belgium,Cyprus,469,4.1463632636812083e-05,15900.0,37600.0,21700.0
165,Belgium,Czechia,3454,0.00030536329877942206,20900.0,37600.0,16700.0
166,Belgium,Denmark,2729,0.00024126706495919016,-11600.0,37600.0,49200.0
167,Belgium,Estonia,1035,9.150289931577934e-05,21100.0,37600.0,16500.0
168,Belgium,Finland,2807,0.00024816293563226336,-1700.0,37600.0,39300.0
169,Belgium,France,161807,0.014305130076896915,4200.0,37600.0,33400.0
170,Belgium,Germany,39279,0.0034726013354826053,-800.0,37600.0,38400.0
171,Belgium,Greece,16724,0.0014785453991855977,21200.0,37600.0,16400.0
172,Belgium,Hungary,6389,0.0005648425350033953,26000.0,37600.0,11600.0
173,Belgium,Iceland,241,2.130647220782881e-05,-18000.0,37600.0,55600.0
174,Belgium,Ireland,4080,0.0003607070813607533,-19900.0,37600.0,57500.0
175,Belgium,Italy,156779,0.01386061164427881,9700.0,37600.0,27900.0
176,Belgium,Latvia,1778,0.00015719048790672043,24800.0,37600.0,12800.0
177,Belgium,Liechtenstein,4,3.536343934909346e-07,-109100.0,37600.0,146700.0
178,Belgium,Lithuania,2394,0.00021165018450432438,24100.0,37600.0,13500.0
179,Belgium,Luxembourg,4321,0.00038201355356858214,-53700.0,37600.0,91300.0
180,Belgium,Malta,459,4.057954665308475e-05,14900.0,37600.0,22700.0
181,Belgium,Netherlands,151651,0.013407252351823431,-4000.0,37600.0,41600.0
182,Belgium,Norway,1179,0.00010423373748145298,-26500.0,37600.0,64100.0
183,Belgium,Poland,70382,0.0062223739706697406,26500.0,37600.0,11100.0
184,Belgium,Portugal,44166,0.0039046541557301545,19500.0,37600.0,18100.0
185,Belgium,Romania,73155,0.00646753101395733,29000.0,37600.0,8600.0
186,Belgium,Slovakia,6053,0.0005351372459501568,22600.0,37600.0,15000.0
187,Belgium,Slovenia,1113,9.839876998885256e-05,18100.0,37600.0,19500.0
188,Belgium,Spain,61660,0.005451274175662758,13500.0,37600.0,24100.0
189,Belgium,Sweden,3843,0.00033975424354641546,-9100.0,37600.0,46700.0
190,Belgium,Switzerland,2050,0.000181237626664104,-34700.0,37600.0,72300.0
191,Belgium,United Kingdom,23503,0.002077867287554359,1000.0,37600.0,36600.0
192,Bulgaria,Austria,273,3.816162187731696e-05,-34000.0,6800.0,40800.0
193,Bulgaria,Belgium,202,2.823680446600009e-05,-30800.0,6800.0,37600.0
195,Bulgaria,Croatia,61,8.526955804089136e-06,-4400.0,6800.0,11200.0
196,Bulgaria,Cyprus,150,2.096792410841591e-05,-14900.0,6800.0,21700.0
197,Bulgaria,Czechia,431,6.024783527151505e-05,-9900.0,6800.0,16700.0
198,Bulgaria,Denmark,106,1.4817333036613909e-05,-42400.0,6800.0,49200.0
199,Bulgaria,Estonia,50,6.9893080361386365e-06,-9700.0,6800.0,16500.0
200,Bulgaria,Finland,69,9.645245089871319e-06,-32500.0,6800.0,39300.0
201,Bulgaria,France,497,6.947372187921805e-05,-26600.0,6800.0,33400.0
202,Bulgaria,Germany,1328,0.00018563602143984218,-31600.0,6800.0,38400.0
203,Bulgaria,Greece,2131,0.00029788430850022867,-9600.0,6800.0,16400.0
204,Bulgaria,Hungary,144,2.0129207144079274e-05,-4800.0,6800.0,11600.0
205,Bulgaria,Iceland,13,1.8172200893960456e-06,-48800.0,6800.0,55600.0
206,Bulgaria,Ireland,109,1.5236691518782228e-05,-50700.0,6800.0,57500.0
207,Bulgaria,Italy,893,0.00012482904152543605,-21100.0,6800.0,27900.0
208,Bulgaria,Latvia,99,1.3838829911554501e-05,-6000.0,6800.0,12800.0
209,Bulgaria,Liechtenstein,0,0.0,-139900.0,6800.0,146700.0
210,Bulgaria,Lithuania,86,1.2021609822158454e-05,-6700.0,6800.0,13500.0
211,Bulgaria,Luxembourg,8,1.118289285782182e-06,-84500.0,6800.0,91300.0
212,Bulgaria,Malta,15,2.096792410841591e-06,-15900.0,6800.0,22700.0
213,Bulgaria,Netherlands,323,4.515092991345559e-05,-34800.0,6800.0,41600.0
214,Bulgaria,Norway,56,7.828025000475272e-06,-57300.0,6800.0,64100.0
215,Bulgaria,Poland,1021,0.00014272167009795095,-4300.0,6800.0,11100.0
216,Bulgaria,Portugal,57,7.967811161198046e-06,-11300.0,6800.0,18100.0
217,Bulgaria,Romania,543,7.59038852724656e-05,-1800.0,6800.0,8600.0
218,Bulgaria,Slovakia,241,3.3688464734188226e-05,-8200.0,6800.0,15000.0
219,Bulgaria,Slovenia,41,5.731232589633682e-06,-12700.0,6800.0,19500.0
220,Bulgaria,Spain,247,3.452718169852486e-05,-17300.0,6800.0,24100.0
221,Bulgaria,Sweden,108,1.5096905358059455e-05,-39900.0,6800.0,46700.0
222,Bulgaria,Switzerland,112,1.5656050000950544e-05,-65500.0,6800.0,72300.0
223,Bulgaria,United Kingdom,3879,0.0005422305174436355,-29800.0,6800.0,36600.0
224,Croatia,Austria,687,0.0001639356389158867,-29600.0,11200.0,40800.0
225,Croatia,Belgium,133,3.1737176092886364e-05,-26400.0,11200.0,37600.0
226,Croatia,Bulgaria,200,4.7725076831408065e-05,4400.0,11200.0,6800.0
228,Croatia,Cyprus,0,0.0,-10500.0,11200.0,21700.0
229,Croatia,Czechia,410,9.783640750438653e-05,-5500.0,11200.0,16700.0
230,Croatia,Denmark,44,1.0499516902909773e-05,-38000.0,11200.0,49200.0
231,Croatia,Estonia,31,7.39738690886825e-06,-5300.0,11200.0,16500.0
232,Croatia,Finland,47,1.1215393055380895e-05,-28100.0,11200.0,39300.0
233,Croatia,France,326,7.779187523519514e-05,-22200.0,11200.0,33400.0
234,Croatia,Germany,2823,0.0006736394594753248,-27200.0,11200.0,38400.0
235,Croatia,Greece,74,1.7658278427620985e-05,-5200.0,11200.0,16400.0
236,Croatia,Hungary,556,0.00013267571359131442,-400.0,11200.0,11600.0
238,Croatia,Ireland,49,1.1692643823694975e-05,-46300.0,11200.0,57500.0
239,Croatia,Italy,2101,0.0005013519321139417,-16700.0,11200.0,27900.0
240,Croatia,Latvia,23,5.488383835611928e-06,-1600.0,11200.0,12800.0
242,Croatia,Lithuania,43,1.0260891518752734e-05,-2300.0,11200.0,13500.0
243,Croatia,Luxembourg,4,9.545015366281613e-07,-80100.0,11200.0,91300.0
244,Croatia,Malta,1,2.3862538415704033e-07,-11500.0,11200.0,22700.0
245,Croatia,Netherlands,303,7.230349139958322e-05,-30400.0,11200.0,41600.0
247,Croatia,Poland,424,0.0001011771628825851,100.0,11200.0,11100.0
248,Croatia,Portugal,58,1.3840272281108338e-05,-6900.0,11200.0,18100.0
249,Croatia,Romania,329,7.850775138766626e-05,2600.0,11200.0,8600.0
250,Croatia,Slovakia,359,8.566651291237748e-05,-3800.0,11200.0,15000.0
251,Croatia,Slovenia,3502,0.0008356660953179552,-8300.0,11200.0,19500.0
252,Croatia,Spain,133,3.1737176092886364e-05,-12900.0,11200.0,24100.0
253,Croatia,Sweden,257,6.132672372835936e-05,-35500.0,11200.0,46700.0
255,Croatia,United Kingdom,557,0.00013291433897547145,-25400.0,11200.0,36600.0
288,Czechia,Austria,3468,0.0003286006812873756,-24100.0,16700.0,40800.0
289,Czechia,Belgium,665,6.301022291121822e-05,-20900.0,16700.0,37600.0
290,Czechia,Bulgaria,11004,0.0010426533728045792,9900.0,16700.0,6800.0
291,Czechia,Croatia,2759,0.00026142136092037753,5500.0,16700.0,11200.0
292,Czechia,Cyprus,107,1.0138486994737368e-05,-5000.0,16700.0,21700.0
294,Czechia,Denmark,359,3.401604515056743e-05,-32500.0,16700.0,49200.0
295,Czechia,Estonia,176,1.6676389823119406e-05,200.0,16700.0,16500.0
296,Czechia,Finland,338,3.202624863758159e-05,-22600.0,16700.0,39300.0
297,Czechia,France,3483,0.00033002196451093694,-16700.0,16700.0,33400.0
298,Czechia,Germany,20524,0.0019446944586914928,-21700.0,16700.0,38400.0
299,Czechia,Greece,1229,0.00011645047211712359,300.0,16700.0,16400.0
300,Czechia,Hungary,3140,0.0002975219547988349,5100.0,16700.0,11600.0
301,Czechia,Iceland,35,3.316327521643064e-06,-38900.0,16700.0,55600.0
302,Czechia,Ireland,747,7.077990453335339e-05,-40800.0,16700.0,57500.0
303,Czechia,Italy,4160,0.0003941692140010042,-11200.0,16700.0,27900.0
304,Czechia,Latvia,426,4.036444354914129e-05,3900.0,16700.0,12800.0
305,Czechia,Liechtenstein,1,9.475221490408755e-08,-130000.0,16700.0,146700.0
306,Czechia,Lithuania,682,6.46210105645877e-05,3200.0,16700.0,13500.0
307,Czechia,Luxembourg,25,2.3688053726021884e-06,-74600.0,16700.0,91300.0
308,Czechia,Malta,30,2.8425664471226263e-06,-6000.0,16700.0,22700.0
309,Czechia,Netherlands,3015,0.00028567792793582396,-24900.0,16700.0,41600.0
310,Czechia,Norway,251,2.3782805940925973e-05,-47400.0,16700.0,64100.0
311,Czechia,Poland,19841,0.001879978695912001,5600.0,16700.0,11100.0
312,Czechia,Portugal,448,4.244899227703122e-05,-1400.0,16700.0,18100.0
313,Czechia,Romania,8678,0.0008222597209376717,8100.0,16700.0,8600.0
314,Czechia,Slovakia,101727,0.009638858565548114,1700.0,16700.0,15000.0
315,Czechia,Slovenia,398,3.771138153182684e-05,-2800.0,16700.0,19500.0
316,Czechia,Spain,1215,0.00011512394110846636,-7400.0,16700.0,24100.0
317,Czechia,Sweden,826,7.826532951077631e-05,-30000.0,16700.0,46700.0
318,Czechia,Switzerland,594,5.6282815653028e-05,-55600.0,16700.0,72300.0
319,Czechia,United Kingdom,5968,0.0005654812185475945,-19900.0,16700.0,36600.0
320,Denmark,Austria,1379,0.00024162245536423754,8400.0,49200.0,40800.0
321,Denmark,Belgium,1107,0.00019396378396534513,11600.0,49200.0,37600.0
322,Denmark,Bulgaria,8207,0.0014379952800393746,42400.0,49200.0,6800.0
323,Denmark,Croatia,1389,0.00024337461240096152,38000.0,49200.0,11200.0
324,Denmark,Cyprus,105,1.8397648885601843e-05,27500.0,49200.0,21700.0
325,Denmark,Czechia,1399,0.0002451267694376855,32500.0,49200.0,16700.0
327,Denmark,Estonia,1414,0.0002477550049927715,32700.0,49200.0,16500.0
328,Denmark,Finland,2798,0.000490253538875371,9900.0,49200.0,39300.0
329,Denmark,France,6126,0.0010733714006971131,15800.0,49200.0,33400.0
330,Denmark,Germany,23709,0.004154189118368896,10800.0,49200.0,38400.0
331,Denmark,Greece,2360,0.0004135090606668605,32800.0,49200.0,16400.0
332,Denmark,Hungary,4343,0.0007609618010492267,37600.0,49200.0,11600.0
333,Denmark,Iceland,8577,0.001502825090398162,-6400.0,49200.0,55600.0
334,Denmark,Ireland,1792,0.0003139865409809381,-8300.0,49200.0,57500.0
335,Denmark,Italy,8131,0.0014246788865602722,21300.0,49200.0,27900.0
336,Denmark,Latvia,4961,0.0008692451059187689,36400.0,49200.0,12800.0
337,Denmark,Liechtenstein,7,1.2265099257067894e-06,-97500.0,49200.0,146700.0
338,Denmark,Lithuania,11480,0.002011476278159135,35700.0,49200.0,13500.0
339,Denmark,Luxembourg,52,9.111216590964722e-06,-42100.0,49200.0,91300.0
340,Denmark,Malta,70,1.2265099257067895e-05,26500.0,49200.0,22700.0
341,Denmark,Netherlands,7532,0.0013197246800605055,7600.0,49200.0,41600.0
342,Denmark,Norway,16350,0.0028647767550437154,-14900.0,49200.0,64100.0
343,Denmark,Poland,35323,0.006189144300820132,38100.0,49200.0,11100.0
344,Denmark,Portugal,2780,0.0004870996562092678,31100.0,49200.0,18100.0
345,Denmark,Romania,22409,0.003926408703594778,40600.0,49200.0,8600.0
346,Denmark,Slovakia,2401,0.0004206929045174288,34200.0,49200.0,15000.0
347,Denmark,Slovenia,394,6.9034987246925e-05,29700.0,49200.0,19500.0
348,Denmark,Spain,5984,0.0010484907707756326,25100.0,49200.0,24100.0
349,Denmark,Sweden,14852,0.0026023036309424626,2500.0,49200.0,46700.0
350,Denmark,Switzerland,1586,0.000277892106024424,-23100.0,49200.0,72300.0
351,Denmark,United Kingdom,16738,0.002932760448068606,12600.0,49200.0,36600.0
352,Estonia,Austria,82,6.231268199862608e-05,-24300.0,16500.0,40800.0
353,Estonia,Belgium,139,0.00010562759509523201,-21100.0,16500.0,37600.0
