"TIME","GEO","AGE","SEX","UNIT","Value","Flag and Footnotes"
"1994","Spain","Total","Total","Number","39,458,489",""
"1994","France","Total","Total","Number","59,104,320",""
"1994","Croatia","Total","Total","Number","4,645,155","e"
"1994","Italy","Total","Total","Number","56,842,392",""
"1994","Cyprus","Total","Total","Number","632,944",""
"1994","Latvia","Total","Total","Number","2,540,904",""
"1994","Lithuania","Total","Total","Number","3,671,296",""
"1994","Luxembourg","Total","Total","Number","400,200",""
"1994","Hungary","Total","Total","Number","10,350,010",""
"1994","Malta","Total","Total","Number","373,161",""
"1994","Netherlands","Total","Total","Number","15,341,553",""
"1994","Austria","Total","Total","Number","7,928,746",""
"1994","Poland","Total","Total","Number","38,504,707",""
"1994","Portugal","Total","Total","Number","9,974,391",""
"1994","Romania","Total","Total","Number","22,748,027",""
"1994","Slovenia","Total","Total","Number","1,989,408",""
"1994","Slovakia","Total","Total","Number","5,336,455",""
"1994","Finland","Total","Total","Number","5,077,912",""
"1994","Sweden","Total","Total","Number","8,745,109",""
"1994","United Kingdom","Total","Total","Number","57,788,017",""
"1994","Iceland","Total","Total","Number","265,064",""
"1994","Liechtenstein","Total","Total","Number","30,310",""
"1994","Norway","Total","Total","Number","4,324,815",""
"1994","Switzerland","Total","Total","Number","6,968,570",""
"1995","Belgium","Total","Total","Number","10,130,574",""
"1995","Bulgaria","Total","Total","Number","8,427,418",""
"1995","Czechia","Total","Total","Number","10,333,161",""
"1995","Denmark","Total","Total","Number","5,215,718",""
"1995","Germany (until 1990 former territory of the FRG)","Total","Total","Number","81,538,603",""
"1995","Estonia","Total","Total","Number","1,448,075",""
"1995","Ireland","Total","Total","Number","3,597,617",""
"1995","Greece","Total","Total","Number","10,535,973",""
"1995","Spain","Total","Total","Number","39,639,726",""
"1995","France","Total","Total","Number","59,315,139",""
"1995","Croatia","Total","Total","Number","4,658,893","e"
"1995","Italy","Total","Total","Number","56,844,408",""
"1995","Cyprus","Total","Total","Number","645,399",""
"1995","Latvia","Total","Total","Number","2,500,580",""
"1995","Lithuania","Total","Total","Number","3,642,991",""
"1995","Luxembourg","Total","Total","Number","405,650",""
"1995","Hungary","Total","Total","Number","10,336,700",""
"1995","Malta","Total","Total","Number","376,433",""
"1995","Netherlands","Total","Total","Number","15,424,122",""
"1995","Austria","Total","Total","Number","7,943,489",""
"1995","Poland","Total","Total","Number","38,580,597",""
"1995","Portugal","Total","Total","Number","10,008,659",""
"1995","Romania","Total","Total","Number","22,712,394",""
"1995","Slovenia","Total","Total","Number","1,989,477",""
"1995","Slovakia","Total","Total","Number","5,356,207",""
"1995","Finland","Total","Total","Number","5,098,754",""
"1995","Sweden","Total","Total","Number","8,816,381",""
"1995","United Kingdom","Total","Total","Number","57,943,472",""
"1995","Iceland","Total","Total","Number","266,978",""
"1995","Liechtenstein","Total","Total","Number","30,629",""
"1995","Norway","Total","Total","Number","4,348,410",""
"1995","Switzerland","Total","Total","Number","7,019,019",""
"1996","Belgium","Total","Total","Number","10,143,047",""
"1996","Bulgaria","Total","Total","Number","8,384,715",""
"1996","Czechia","Total","Total","Number","10,321,344",""
"1996","Denmark","Total","Total","Number","5,251,027",""
"1996","Germany (until 1990 former territory of the FRG)","Total","Total","Number","81,817,499",""
"1996","Estonia","Total","Total","Number","1,425,192",""
"1996","Ireland","Total","Total","Number","3,620,065",""
"1996","Greece","Total","Total","Number","10,588,332",""
"1996","Spain","Total","Total","Number","39,808,374",""
"1996","France","Total","Total","Number","59,522,297",""
"1996","Croatia","Total","Total","Number","4,581,167","e"
"1996","Italy","Total","Total","Number","56,844,197",""
"1996","Cyprus","Total","Total","Number","656,333",""
"1996","Latvia","Total","Total","Number","2,469,531",""
"1996","Lithuania","Total","Total","Number","3,615,212",""
"1996","Luxembourg","Total","Total","Number","411,600",""
"1996","Hungary","Total","Total","Number","10,321,229",""
"1996","Malta","Total","Total","Number","378,404",""
"1996","Netherlands","Total","Total","Number","15,493,889",""
"1996","Austria","Total","Total","Number","7,953,067",""
"1996","Poland","Total","Total","Number","38,609,399",""
"1996","Portugal","Total","Total","Number","10,043,693",""
"1996","Romania","Total","Total","Number","22,656,145",""
"1996","Slovenia","Total","Total","Number","1,990,266",""
"1996","Slovakia","Total","Total","Number","5,367,790",""
"1996","Finland","Total","Total","Number","5,116,826",""
"1996","Sweden","Total","Total","Number","8,837,496",""
"1996","United Kingdom","Total","Total","Number","58,094,587",""
"1996","Iceland","Total","Total","Number","267,958",""
"1996","Liechtenstein","Total","Total","Number","30,923",""
"1996","Norway","Total","Total","Number","4,369,957",""
"1996","Switzerland","Total","Total","Number","7,062,354",""
"1997","Belgium","Total","Total","Number","10,170,226",""
"1997","Bulgaria","Total","Total","Number","8,340,936",""
"1997","Czechia","Total","Total","Number","10,309,137",""
"1997","Denmark","Total","Total","Number","5,275,121",""
"1997","Germany (until 1990 former territory of the FRG)","Total","Total","Number","82,012,162",""
"1997","Estonia","Total","Total","Number","1,405,996",""
"1997","Ireland","Total","Total","Number","3,654,955",""
"1997","Greece","Total","Total","Number","10,629,267",""
"1997","Spain","Total","Total","Number","39,971,329",""
"1997","France","Total","Total","Number","59,726,386",""
"1997","Croatia","Total","Total","Number","4,533,028","e"
"1997","Italy","Total","Total","Number","56,876,364",""
"1997","Cyprus","Total","Total","Number","666,313",""
"1997","Latvia","Total","Total","Number","2,444,912",""
"1997","Lithuania","Total","Total","Number","3,588,013",""
"1997","Luxembourg","Total","Total","Number","416,850",""
"1997","Hungary","Total","Total","Number","10,301,247",""
"1997","Malta","Total","Total","Number","381,405",""
"1997","Netherlands","Total","Total","Number","15,567,107",""
"1997","Austria","Total","Total","Number","7,964,966",""
"1997","Poland","Total","Total","Number","38,639,341",""
"1997","Portugal","Total","Total","Number","10,084,196",""
"1997","Romania","Total","Total","Number","22,581,862",""
"1997","Slovenia","Total","Total","Number","1,986,989",""
"1997","Slovakia","Total","Total","Number","5,378,932",""
"1997","Finland","Total","Total","Number","5,132,320",""
"1997","Sweden","Total","Total","Number","8,844,499",""
"1997","United Kingdom","Total","Total","Number","58,239,312",""
"1997","Iceland","Total","Total","Number","269,874",""
"1997","Liechtenstein","Total","Total","Number","31,143",""
"1997","Norway","Total","Total","Number","4,392,714",""
"1997","Switzerland","Total","Total","Number","7,081,346",""
"1998","Belgium","Total","Total","Number","10,192,264",""
"1998","Bulgaria","Total","Total","Number","8,283,200",""
"1998","Czechia","Total","Total","Number","10,299,125",""
"1998","Denmark","Total","Total","Number","5,294,860",""
"1998","Germany (until 1990 former territory of the FRG)","Total","Total","Number","82,057,379",""
"1998","Estonia","Total","Total","Number","1,393,074",""
"1998","Ireland","Total","Total","Number","3,693,386",""
"1998","Greece","Total","Total","Number","10,693,250",""
"1998","Spain","Total","Total","Number","40,143,449",""
"1998","France","Total","Total","Number","59,934,884",""
"1998","Croatia","Total","Total","Number","4,536,812","e"
"1998","Italy","Total","Total","Number","56,904,379",""
"1998","Cyprus","Total","Total","Number","675,215",""
"1998","Latvia","Total","Total","Number","2,420,789",""
"1998","Lithuania","Total","Total","Number","3,562,261",""
"1998","Luxembourg","Total","Total","Number","422,050",""
"1998","Hungary","Total","Total","Number","10,279,724",""
"1998","Malta","Total","Total","Number","384,176",""
"1998","Netherlands","Total","Total","Number","15,654,192",""
"1998","Austria","Total","Total","Number","7,971,116",""
"1998","Poland","Total","Total","Number","38,659,979",""
"1998","Portugal","Total","Total","Number","10,133,758",""
"1998","Romania","Total","Total","Number","22,526,093",""
"1998","Slovenia","Total","Total","Number","1,984,923",""
"1998","Slovakia","Total","Total","Number","5,387,650",""
"1998","Finland","Total","Total","Number","5,147,349",""
"1998","Sweden","Total","Total","Number","8,847,625",""
"1998","United Kingdom","Total","Total","Number","58,394,596",""
"1998","Iceland","Total","Total","Number","272,381",""
"1998","Liechtenstein","Total","Total","Number","31,320",""
"1998","Norway","Total","Total","Number","4,417,599",""
"1998","Switzerland","Total","Total","Number","7,096,465",""
"1999","Belgium","Total","Total","Number","10,213,752",""
"1999","Bulgaria","Total","Total","Number","8,230,371",""
"1999","Czechia","Total","Total","Number","10,289,621",""
"1999","Denmark","Total","Total","Number","5,313,577",""
"1999","Germany (until 1990 former territory of the FRG)","Total","Total","Number","82,037,011",""
"1999","Estonia","Total","Total","Number","1,379,237",""
"1999","Ireland","Total","Total","Number","3,732,006",""
"1999","Greece","Total","Total","Number","10,747,768",""
"1999","Spain","Total","Total","Number","40,303,568",""
"1999","France","Total","Total","Number","60,158,533",""
"1999","Croatia","Total","Total","Number","4,527,459","e"
"1999","Italy","Total","Total","Number","56,909,109",""
"1999","Cyprus","Total","Total","Number","682,862",""
"1999","Latvia","Total","Total","Number","2,399,248",""
"1999","Lithuania","Total","Total","Number","3,536,401",""
"1999","Luxembourg","Total","Total","Number","427,350",""
"1999","Hungary","Total","Total","Number","10,253,416",""
"1999","Malta","Total","Total","Number","386,397",""
"1999","Netherlands","Total","Total","Number","15,760,225",""
"1999","Austria","Total","Total","Number","7,982,461",""
"1999","Poland","Total","Total","Number","38,666,983",""
"1999","Portugal","Total","Total","Number","10,186,634",""
"1999","Romania","Total","Total","Number","22,488,595",""
"1999","Slovenia","Total","Total","Number","1,978,334",""
"1999","Slovakia","Total","Total","Number","5,393,382",""
