,Country,cent_1998,cent_1999,cent_2000,cent_2001,cent_2002,cent_2003,cent_2004,cent_2005,cent_2006,cent_2007,cent_2008,cent_2009,cent_2010,cent_2011,cent_2012,cent_2013,cent_2014,cent_2015,cent_2016,cent_2017
0,Austria,0.14831764153079313,0.14831764153079313,0.14831764153079313,0.14831764153079313,0.14831764153079313,0.14831764153079313,0.14831764153079313,0.14831764153079313,0.14831764153079313,0.14831764153079313,0.14831764153079313,0.14831764153079313,0.14831764153079313,0.14831764153079313,0.14831764153079313,0.14831764153079313,0.14831764153079313,0.14831764153079313,0.14831764153079313,0.14831764153079313
1,Belgium,0.22220205619136613,0.22220205619136613,0.22220205619136613,0.22220205619136613,0.22220205619136613,0.22220205619136613,0.22220205619136613,0.22220205619136613,0.22220205619136613,0.22220205619136613,0.22220205619136613,0.22220205619136613,0.22220205619136613,0.22220205619136613,0.22220205619136613,0.22220205619136613,0.22220205619136613,0.22220205619136613,0.22220205619136613,0.22220205619136613
2,Bulgaria,0.004395862816282116,0.004395862816282116,0.004395862816282116,0.004395862816282116,0.004395862816282116,0.004395862816282116,0.004395862816282116,0.004395862816282116,0.004395862816282116,0.004395862816282116,0.004395862816282116,0.004395862816282116,0.004395862816282116,0.004395862816282116,0.004395862816282116,0.004395862816282116,0.004395862816282116,0.004395862816282116,0.004395862816282116,0.004395862816282116
3,Croatia,0.0034450062104213145,0.0034450062104213145,0.0034450062104213145,0.0034450062104213145,0.0034450062104213145,0.0034450062104213145,0.0034450062104213145,0.0034450062104213145,0.0034450062104213145,0.0034450062104213145,0.0034450062104213145,0.0034450062104213145,0.0034450062104213145,0.0034450062104213145,0.0034450062104213145,0.0034450062104213145,0.0034450062104213145,0.0034450062104213145,0.0034450062104213145,0.0034450062104213145
4,Cyprus,1.492238387075208e-83,1.492238387075208e-83,1.492238387075208e-83,1.492238387075208e-83,1.492238387075208e-83,1.492238387075208e-83,1.492238387075208e-83,1.492238387075208e-83,1.492238387075208e-83,1.492238387075208e-83,1.492238387075208e-83,1.492238387075208e-83,1.492238387075208e-83,1.492238387075208e-83,1.492238387075208e-83,1.492238387075208e-83,1.492238387075208e-83,1.492238387075208e-83,1.492238387075208e-83,1.492238387075208e-83
5,Czechia,0.024967890627859087,0.024967890627859087,0.024967890627859087,0.024967890627859087,0.024967890627859087,0.024967890627859087,0.024967890627859087,0.024967890627859087,0.024967890627859087,0.024967890627859087,0.024967890627859087,0.024967890627859087,0.024967890627859087,0.024967890627859087,0.024967890627859087,0.024967890627859087,0.024967890627859087,0.024967890627859087,0.024967890627859087,0.024967890627859087
6,Denmark,0.04259466813143909,0.04259466813143909,0.04259466813143909,0.04259466813143909,0.04259466813143909,0.04259466813143909,0.04259466813143909,0.04259466813143909,0.04259466813143909,0.04259466813143909,0.04259466813143909,0.04259466813143909,0.04259466813143909,0.04259466813143909,0.04259466813143909,0.04259466813143909,0.04259466813143909,0.04259466813143909,0.04259466813143909,0.04259466813143909
7,Estonia,0.002380856530405635,0.002380856530405635,0.002380856530405635,0.002380856530405635,0.002380856530405635,0.002380856530405635,0.002380856530405635,0.002380856530405635,0.002380856530405635,0.002380856530405635,0.002380856530405635,0.002380856530405635,0.002380856530405635,0.002380856530405635,0.002380856530405635,0.002380856530405635,0.002380856530405635,0.002380856530405635,0.002380856530405635,0.002380856530405635
8,Finland,0.010650687480217207,0.010650687480217207,0.010650687480217207,0.010650687480217207,0.010650687480217207,0.010650687480217207,0.010650687480217207,0.010650687480217207,0.010650687480217207,0.010650687480217207,0.010650687480217207,0.010650687480217207,0.010650687480217207,0.010650687480217207,0.010650687480217207,0.010650687480217207,0.010650687480217207,0.010650687480217207,0.010650687480217207,0.010650687480217207
9,France,0.36171005066764,0.36171005066764,0.36171005066764,0.36171005066764,0.36171005066764,0.36171005066764,0.36171005066764,0.36171005066764,0.36171005066764,0.36171005066764,0.36171005066764,0.36171005066764,0.36171005066764,0.36171005066764,0.36171005066764,0.36171005066764,0.36171005066764,0.36171005066764,0.36171005066764,0.36171005066764
10,Germany,0.4441800020171456,0.4441800020171456,0.4441800020171456,0.4441800020171456,0.4441800020171456,0.4441800020171456,0.4441800020171456,0.4441800020171456,0.4441800020171456,0.4441800020171456,0.4441800020171456,0.4441800020171456,0.4441800020171456,0.4441800020171456,0.4441800020171456,0.4441800020171456,0.4441800020171456,0.4441800020171456,0.4441800020171456,0.4441800020171456
11,Greece,0.023916768667680385,0.023916768667680385,0.023916768667680385,0.023916768667680385,0.023916768667680385,0.023916768667680385,0.023916768667680385,0.023916768667680385,0.023916768667680385,0.023916768667680385,0.023916768667680385,0.023916768667680385,0.023916768667680385,0.023916768667680385,0.023916768667680385,0.023916768667680385,0.023916768667680385,0.023916768667680385,0.023916768667680385,0.023916768667680385
12,Hungary,0.019764376553018714,0.019764376553018714,0.019764376553018714,0.019764376553018714,0.019764376553018714,0.019764376553018714,0.019764376553018714,0.019764376553018714,0.019764376553018714,0.019764376553018714,0.019764376553018714,0.019764376553018714,0.019764376553018714,0.019764376553018714,0.019764376553018714,0.019764376553018714,0.019764376553018714,0.019764376553018714,0.019764376553018714,0.019764376553018714
13,Iceland,0.0023780930818166237,0.0023780930818166237,0.0023780930818166237,0.0023780930818166237,0.0023780930818166237,0.0023780930818166237,0.0023780930818166237,0.0023780930818166237,0.0023780930818166237,0.0023780930818166237,0.0023780930818166237,0.0023780930818166237,0.0023780930818166237,0.0023780930818166237,0.0023780930818166237,0.0023780930818166237,0.0023780930818166237,0.0023780930818166237,0.0023780930818166237,0.0023780930818166237
14,Ireland,0.09887466140911726,0.09887466140911726,0.09887466140911726,0.09887466140911726,0.09887466140911726,0.09887466140911726,0.09887466140911726,0.09887466140911726,0.09887466140911726,0.09887466140911726,0.09887466140911726,0.09887466140911726,0.09887466140911726,0.09887466140911726,0.09887466140911726,0.09887466140911726,0.09887466140911726,0.09887466140911726,0.09887466140911726,0.09887466140911726
15,Italy,0.10560692917177328,0.10560692917177328,0.10560692917177328,0.10560692917177328,0.10560692917177328,0.10560692917177328,0.10560692917177328,0.10560692917177328,0.10560692917177328,0.10560692917177328,0.10560692917177328,0.10560692917177328,0.10560692917177328,0.10560692917177328,0.10560692917177328,0.10560692917177328,0.10560692917177328,0.10560692917177328,0.10560692917177328,0.10560692917177328
16,Latvia,0.0006500008275606666,0.0006500008275606666,0.0006500008275606666,0.0006500008275606666,0.0006500008275606666,0.0006500008275606666,0.0006500008275606666,0.0006500008275606666,0.0006500008275606666,0.0006500008275606666,0.0006500008275606666,0.0006500008275606666,0.0006500008275606666,0.0006500008275606666,0.0006500008275606666,0.0006500008275606666,0.0006500008275606666,0.0006500008275606666,0.0006500008275606666,0.0006500008275606666
17,Liechtenstein,0.004164389972984848,0.004164389972984848,0.004164389972984848,0.004164389972984848,0.004164389972984848,0.004164389972984848,0.004164389972984848,0.004164389972984848,0.004164389972984848,0.004164389972984848,0.004164389972984848,0.004164389972984848,0.004164389972984848,0.004164389972984848,0.004164389972984848,0.004164389972984848,0.004164389972984848,0.004164389972984848,0.004164389972984848,0.004164389972984848
18,Lithuania,0.0009564690319618314,0.0009564690319618314,0.0009564690319618314,0.0009564690319618314,0.0009564690319618314,0.0009564690319618314,0.0009564690319618314,0.0009564690319618314,0.0009564690319618314,0.0009564690319618314,0.0009564690319618314,0.0009564690319618314,0.0009564690319618314,0.0009564690319618314,0.0009564690319618314,0.0009564690319618314,0.0009564690319618314,0.0009564690319618314,0.0009564690319618314,0.0009564690319618314
