,Country,cent_1998,cent_1999,cent_2000,cent_2001,cent_2002,cent_2003,cent_2004,cent_2005,cent_2006,cent_2007,cent_2008,cent_2009,cent_2010,cent_2011,cent_2012,cent_2013,cent_2014,cent_2015,cent_2016,cent_2017
0,Austria,0.04441844368752308,0.03595919857079739,0.044328714971224634,0.03606677665494921,0.03790461012394042,0.028205154646834294,0.03450233393931798,0.027618673294841207,0.03268469185848719,0.031298347152040426,0.026647588747429236,0.022903609374263435,0.023039391639499727,0.007910292253339444,0.019564612335983812,0.018945251368578647,0.016279364993846253,0.015368084844741607,0.015184773883254649,0.015143855596562734
1,Belgium,0.014857837690968812,0.019979176671725225,0.012356442156739504,0.013332032233980025,0.0156517347053179,0.02040974733064793,0.015146896322853425,0.02206041750856662,0.015574165026370004,0.01470378062236152,0.012584104990365112,0.009377054277517333,0.009288261492065767,0.009213885278723414,0.008632755405263518,0.008555827649919573,0.01402980400608135,0.013476546668925773,0.015277565640406676,0.01482220285384673
2,Bulgaria,0.01010756473426257,0.007155541041550608,0.009605084199492828,0.01404461106585,0.013993923637525175,0.014279604545690931,0.02066804021997363,0.019890391545755993,0.025602826951618373,0.025936810397211206,0.02838830887354511,0.02664083466964333,0.02757089916109345,0.029421659589148386,0.0314124433141061,0.032968556578133225,0.03125187937644268,0.03242178750988885,0.041175768029794425,0.0415301717057238
3,Croatia,0.053619803686385525,0.04398255758111301,0.05560124874411993,0.05296064401392176,0.05648566509254891,0.04112686670022034,0.05036365098013145,0.041132509978244386,0.052491883615143085,0.04710474266822311,0.039074370387700945,0.032824699177068,0.027347532003206967,0.00802308983940169,0.028131786266055794,0.026842418620063136,0.024027261691699765,0.02453431824959365,0.025055152526450818,0.025765554629280655
4,Cyprus,0.00038892247337783394,0.002060817949555295,0.0003884603642831961,0.005276109168287368,0.00029631664256483617,0.0011223736572848338,0.001915733668343725,0.0013494018589150978,0.00023449883797578883,0.00023923719937316105,0.0002476520501140724,0.00023757947306196736,0.00022811013038968352,0.00020211013625717015,0.0002486596213107295,0.0002703806898102255,0.0002947737761113365,0.00030199968739497244,0.0020960256876983168,0.0019804534924377417
5,Czechia,0.005256986673256315,0.004785062527613962,0.005770006890209381,0.007069962079005476,0.006645889245268006,0.007608899462841858,0.007110633017419639,0.006890496725585824,0.008119827041688874,0.008824666991812715,0.00822115618454475,0.007379007331062076,0.006633181280794084,0.004572871983879316,0.006973219092125723,0.007121402837733187,0.006490612798785077,0.006474497060679464,0.009049722830562022,0.009244538086948811
6,Denmark,0.015390108072024445,0.011836256411241523,0.014735407453335136,0.014428586665698406,0.014073331941518387,0.012793529485926918,0.014495209796378725,0.012484181507171604,0.013503834306993544,0.012676073581616988,0.011387638615923715,0.00962348931075744,0.009660450598496012,0.0101996783359915,0.008937996756758559,0.008669831151591983,0.007755776188784521,0.007285174315179095,0.008502963479323401,0.0075160752916363606
7,Estonia,0.0029186479486837547,0.00250556121174866,0.0032108942811262136,0.0028521308149496317,0.003123122087175673,0.002317376710491577,0.0029664310545216305,0.002972381990998821,0.0036088438906096624,0.003993324844889344,0.003757196869171997,0.003440787654669291,0.0037373728424732653,0.004901662486021776,0.004346876838489576,0.00476453546633832,0.004536566393971179,0.004556571788431544,0.004811103314663969,0.004916089021042585
8,Finland,0.025397752012731447,0.021754922488810342,0.02507185571580202,0.02201429847673037,0.02228607069324263,0.016922316596083092,0.01921806445088789,0.01555388251966586,0.018033032352521027,0.015676720209159525,0.013155841067533822,0.010995743337957605,0.01060779223847451,0.011788678176570911,0.009339235388330664,0.008932500307467603,0.0076903831486647796,0.007190862539893123,0.007182920344937279,0.006794667113985324
9,France,0.06198644074831451,0.04965833605470926,0.06337461472954747,0.06551201663591685,0.06480693937452617,0.058531974731179756,0.056170509659794754,0.047454924907137284,0.04960346031361745,0.04886347963572982,0.056519839490774285,0.060185875524636036,0.060632460169993505,0.06323131881086587,0.05721787882676657,0.0553817722074886,0.048758222535007334,0.047162642234656285,0.04709641040599839,0.04663804503939725
10,Germany,0.055496008740763575,0.06547791843556101,0.05538253894291523,0.0638785317850251,0.07337506283100692,0.07331133605155778,0.07831969210219333,0.07880947504193354,0.0811723106066908,0.08165334267461942,0.07925508586359993,0.07954860257918638,0.07173656421040649,0.0961567606476872,0.08162902051108552,0.08047828364468718,0.07487644520470682,0.07106853095080158,0.06719409440183195,0.0642063428254103
11,Greece,0.07961381381912261,0.06458935397737096,0.07877390189060163,0.06602806894918829,0.06547051942305962,0.04900288710165133,0.05530400200000348,0.040430130146199963,0.04872685059024864,0.044882397738902395,0.03810678511652662,0.031561216474884156,0.03064899882562211,0.005325897099447674,0.026250922890518103,0.02700300932674254,0.02481534547695333,0.024169822807491106,0.026358543674714362,0.025509610717911718
12,Hungary,0.012551973224301812,0.011311293389937952,0.012668344639010683,0.012673918026202022,0.013228479658049618,0.010419934296454566,0.012034665121809335,0.009589411159026368,0.011820032253271367,0.012224958423947807,0.011643068682687099,0.011376532425617543,0.010098325399593195,0.006020730229591099,0.013277040483852958,0.0159274180886033,0.021591488802872982,0.023295513511834676,0.023363999784098387,0.02411877378773216
13,Iceland,0.003152501036678233,0.001963386288107267,0.003081407493031815,0.0025407747138905218,0.0027194089678987047,0.0020062345960535958,0.0024166708690103395,0.0023594603721151662,0.002559981503993795,0.0022864330145836,0.0019381780421197231,0.0017135956195211252,0.0018890454069814945,0.0024386259657497938,0.001985610407705115,0.0019491100770588942,0.0016684990411602381,0.0016053202446601482,0.0015409403433984063,0.001436352315795575
