,Country,cent_1998,cent_1999,cent_2000,cent_2001,cent_2002,cent_2003,cent_2004,cent_2005,cent_2006,cent_2007,cent_2008,cent_2009,cent_2010,cent_2011,cent_2012,cent_2013,cent_2014,cent_2015,cent_2016,cent_2017
0,Austria,0.018690059479385367,0.022763871780742278,0.02315654244069608,0.012992354403879294,0.011289167888655359,0.012499237822900936,0.01364724567352939,0.01301697631270922,0.013163168409197288,0.01264677140474903,0.01128025068410353,0.0747442325130393,0.07291392984409949,0.07196418915075434,0.07306194440473905,0.0708321787415825,0.06723663398666595,0.06458177524551002,0.04649036961771542,0.043035526986041614
1,Belgium,0.08354362602076304,0.013592296551974973,0.010666980466581507,0.05213680713153023,0.054335643307410836,0.05196531298559676,0.05493180940521903,0.05376733189044293,0.05237283296891668,0.047755213838257975,0.039417661504096,0.006425913866620466,0.006316751155130635,0.006078636709635433,0.006254902738721923,0.006256710783756398,0.007513797420508279,0.007491638649345987,0.02789445256859373,0.026175877054017783
2,Bulgaria,0.0050795307825759785,0.0043941147943145275,0.006178884661353529,0.008436468999286148,0.00470556419495455,0.0055488947716623,0.006866235886239333,0.007246319845883277,0.007617269267944232,0.008545066958295447,0.010532678927774675,0.012076560005809384,0.011928545237758884,0.012634845436006311,0.016025456308683874,0.017221382254874996,0.017976905083252805,0.019366854161402144,0.02168456252134226,0.021700116361412905
3,Croatia,0.031427755354661475,0.03840684116981527,0.04117311578303643,0.03155605735313529,0.029968868124725427,0.027345005440296284,0.029278366298048177,0.027473301736506767,0.027471429833686577,0.02430067742166874,0.020416421595364328,0.025930614805972182,0.01772540582853625,0.014809112091238615,0.024405447445614233,0.023482249803642524,0.02275045944775032,0.022734893614549168,0.017393023606561777,0.017654001366617034
4,Cyprus,0.0002560586815237348,0.0008692674778726807,0.00032291259343057005,0.0027501090525865715,0.0001541321976438815,0.000302087009450233,0.00042143357809308846,0.00033867691246135777,0.0001280306090354813,0.00022548157041933314,0.0002371553781713933,0.00021963950718742863,0.00020338549142758655,0.00020521670602422718,0.00022485317747844208,0.00023393397503229007,0.00025814795799827865,0.0002709127155202209,0.0014172048517855046,0.0013699982059449882
5,Czechia,0.0024622278540897924,0.0034222157922251433,0.0034749458035445925,0.003573170829821032,0.0029760393181333263,0.0033576980821877966,0.004362932205739424,0.00406082945034491,0.0043426691677141225,0.007645011690415682,0.00813493992689453,0.008093731608874517,0.0071426736643089616,0.007000040299710019,0.00770456340613413,0.0076739225681883,0.007073689619523568,0.007398440772590427,0.0072416483502587845,0.007625237203898384
6,Denmark,0.0398009523322926,0.023530605108964146,0.034485293469505275,0.023116109109922008,0.01720826398155357,0.021695948524127692,0.023055490580015565,0.022170308850503008,0.022450677495494405,0.017776619336603593,0.0182560186490559,0.012610380042026218,0.015114941180128818,0.015166502369715684,0.015084351460009818,0.014638254211645718,0.013943592055419037,0.013287007070817662,0.011654669634828842,0.010496450637439885
7,Estonia,0.005623077723159833,0.0075325736035240076,0.007762469410683349,0.004075378349085108,0.004374617707198803,0.004241759771375031,0.005009557370619865,0.005068677949410946,0.005617971672601887,0.007060457646035489,0.006681386004869589,0.006799245490487412,0.007486624831259235,0.008568449089441415,0.009440884322912685,0.010353631945852582,0.010838232651877538,0.011070565448899304,0.00872288735745602,0.008476692005885104
8,Finland,0.03407201933719605,0.03956584713633571,0.04299208552543798,0.022518584928175947,0.020098623181359708,0.02063846165374818,0.021570626304165865,0.019956400268952734,0.01971258705124092,0.017437627369621254,0.014725130008761498,0.01330209780580096,0.012809439969328781,0.012339024511840796,0.01183286032262388,0.012386216669220856,0.011516530978128279,0.012065149831508318,0.009978675806866037,0.009335923625063735
9,France,0.056787162431358465,0.06934700559961453,0.07119058359196631,0.10015356487045636,0.10307295617497178,0.09756099319865037,0.0912999149267781,0.08863062244169125,0.08992367320638191,0.08898334822414426,0.08985052342162626,0.044888194429168526,0.04472529185470009,0.04458719797756947,0.044774115913363124,0.04410522182696782,0.04290714459548509,0.042922477810108814,0.07881477231836859,0.07658517673401084
